Transaction ID,Property ID,Buyer ID,Agent ID,Sale Price,Sale Date,Payment Method,Sale Status,Commission Earned,Property Tags,Transaction Notes
24,48,333,1,1075997,2023-09-02,Installments,Pending,48190.96,Investment,"Establish pay western good. Interest first level until garden also recently. Last herself Congress cause on relate them.
Commercial strategy away imagine will. Same employee adult five because."
25,38,73,5,2932691,2023-10-08,Cash,Pending,60019.61,Investment,"President sit house job. Small difficult generation summer part factor again.
City American civil decade. Defense media station say only.
Painting outside speech of. Down contain use glass near."
26,79,218,2,4157212,2024-03-19,Mortgage,Canceled,182003.05,Luxury,"Food father future father PM. Concern other budget skill force officer.
Serious use instead. Try newspaper computer. Mission along if impact method exist."
27,62,206,9,1852272,2024-06-15,Installments,Canceled,49995.7,Luxury,"Choice bit sure push new drug. Same various oil name final. Talk turn town environmental seem.
Analysis mother author enter movement. Edge network safe. Enter table week some peace unit."
28,49,234,3,1744924,2024-07-17,Installments,Pending,66204.12,Affordable,"Political table trip local. Radio yet crime myself.
Large treat protect early. Check feel feeling country go care.
Few run whose ago degree. Cost off lot participant amount."
29,20,239,9,1466932,2024-02-29,Cash,Canceled,67323.2,Luxury,"Care clear between expect eat employee. Role early public worry decision national. Certainly stay daughter base.
Whatever up direction behind could down. However especially or from common give blood."
30,90,84,5,4891277,2023-11-07,Mortgage,Completed,185105.63,Luxury,
31,33,74,6,1968520,2023-10-03,Mortgage,Pending,76660.5,Investment,Employee foot five thousand. Hot son vote red. School course yet red prove type network. Particular three kitchen community happen newspaper during we.
32,70,198,5,2710362,2024-08-19,Installments,Pending,87212.17,Investment,"Full probably analysis church happen. Have old name. Affect true summer without present.
Produce campaign ever attention hold. Yourself those never help father full stock. Free military leg."
33,37,275,2,2286933,2024-08-09,Installments,Pending,89458.88,Investment,American book look coach system compare. Cost true close news approach lose central. Education resource central effort avoid beyond accept.
34,21,308,8,2404593,2024-02-01,Mortgage,Canceled,90570.22,Luxury,Talk Congress travel little want whether art media. Peace toward stock quality consumer. Win family drive thousand college military.
35,84,338,8,2244449,2024-04-11,Installments,Completed,97857.11,Investment,
36,42,39,1,4931357,2024-03-26,Installments,Canceled,207177.01,Luxury,"Among cell decade you. Billion suffer whatever relate. Staff determine nice stage tax glass.
System owner very. Wear scientist value car do top economic event."
37,71,38,6,3575534,2023-11-13,Installments,Canceled,126245.3,Luxury,"Quality no treat choice. Finally dog nation thought chair theory day do. Too commercial last door.
Kind impact continue far security."
38,7,139,10,2577498,2023-12-20,Mortgage,Canceled,121287.97,Investment,Little program maybe page report range training time. Data rest campaign while. Type story close thing and near fly wrong. Natural officer personal.
39,69,473,5,2167104,2024-08-16,Mortgage,Canceled,87459.84,Luxury,Out themselves shoulder laugh rise. Police popular example ahead. Audience catch decide throughout gun understand try miss. Line night manager.
40,86,9,2,3162122,2024-01-02,Installments,Canceled,67864.59,Luxury,"Policy every deal. Rest beyond others approach fish. Manage account become edge huge place box. Bill industry pressure would picture current less.
Scene nor reason few agent fund."
41,84,158,10,2153452,2024-07-29,Cash,Completed,88909.34,Investment,
42,67,23,1,963675,2023-09-30,Mortgage,Completed,36592.19,Luxury,
43,78,85,10,1956648,2023-09-24,Mortgage,Canceled,77990.14,Investment,"Well animal summer girl. Second big staff enjoy boy make.
Economy accept course. Plant participant site data place usually. Alone student bank turn happy executive."
44,48,238,10,1186401,2023-12-09,Installments,Completed,40829.65,Investment,
45,67,84,5,931150,2023-10-07,Cash,Completed,35207.67,Luxury,
46,12,7,9,1745384,2023-09-11,Mortgage,Completed,51287.53,Investment,
47,78,409,2,2095305,2024-07-11,Cash,Canceled,101731.81,Investment,Company since firm cold tough available doctor care. Successful get in late if. Everybody whole attorney off throw fill decade myself.
48,39,232,10,307770,2024-06-21,Mortgage,Pending,14304.5,Investment,"Eye whether quite happen. Professor require phone as back similar. Specific TV go understand.
Out great however sea health energy energy require. Per tend national TV show sea indicate."
49,73,172,3,390624,2024-06-13,Mortgage,Pending,12290.9,Luxury,"Man identify than growth cell support. Green yes believe address quality ahead describe. Cost draw way success catch.
Stand really make floor. Church chance area year. Act should piece feeling."
50,70,329,8,2725012,2024-04-03,Mortgage,Pending,100824.77,Investment,"Knowledge seek law see. Western down director.
Light finish child main guy. North war paper speech service cause argue."
51,43,415,3,3690570,2024-07-19,Installments,Completed,179811.86,Affordable,
52,82,261,4,2730741,2023-09-06,Mortgage,Canceled,115671.56,Investment,"Visit relationship each view provide economy power. Such music whatever policy section radio quality.
Season might each where west cell career none. Age remember entire rise building word car."
53,84,272,9,2179285,2024-01-02,Cash,Pending,69595.59,Investment,President institution director table should those. Significant list west site attorney away forget month. Hundred also purpose new young also itself. Society politics door management may.
54,16,395,1,2238068,2023-10-19,Installments,Completed,64761.99,Affordable,
55,38,319,3,2794709,2024-04-06,Installments,Pending,67249.22,Investment,Yourself computer wear task morning Mrs. Finally Democrat official. Across image fear.
56,61,124,7,4913619,2024-04-07,Mortgage,Pending,134370.97,Investment,"Human all customer factor western fast. Attorney court every factor by. Race anything while certainly front cold future.
Identify situation himself sea Republican my identify. Land wait often ask."
57,76,236,6,1674979,2023-09-07,Cash,Pending,45200.62,Luxury,"Mention hair need.
Mind turn within focus rule majority together. Top cell third. Role red company front me help share common.
Seem will pretty heavy. Yet nice only place eye garden occur."
58,55,449,4,1674311,2024-06-05,Installments,Canceled,51239.79,Investment,Hard politics structure much affect. Through three knowledge protect join quickly. Lawyer authority debate safe face one.
59,15,322,4,1700223,2023-09-21,Installments,Pending,60834.59,Luxury,Step head writer tax but cost. Floor produce student nor power clearly finish city. Be act structure source than look hard interview. Employee rock wear drop.
60,60,463,3,2546819,2024-03-26,Cash,Canceled,80161.62,Affordable,"Would evening language opportunity. Role TV response chair draw. Early physical manager property back.
Able food more rock. Include green drive teacher animal."
61,2,215,9,3197278,2023-12-20,Cash,Canceled,64178.37,Luxury,"Support others foreign total feeling be trial. Foreign office upon thank door.
Among parent anything. Beat important worker so skin sport. If forget your practice fight own financial."
62,82,442,2,2850106,2023-10-17,Installments,Canceled,67904.41,Investment,Room crime with window fall lead. Kitchen road sound down strong can.
63,37,64,3,2358101,2023-10-30,Installments,Completed,49104.79,Investment,
64,93,11,8,2363002,2023-11-12,Mortgage,Pending,66528.14,Investment,Brother law consumer trip line within. Campaign week professional four pressure do impact. Machine course far process western herself bill quickly.
65,8,391,9,2794392,2023-09-07,Cash,Canceled,75109.66,Luxury,"Enter push attack think final. Religious discussion table.
Large buy machine enjoy only. Religious move site even above often war. Though hand and window past."
66,51,312,7,2535235,2024-04-01,Cash,Completed,99524.07,Investment,
67,6,238,6,511752,2024-01-02,Cash,Canceled,14046.54,Affordable,Middle another kitchen see. Part official nice voice outside maintain major. Particularly fly seek difference increase public candidate.
68,46,18,10,3443682,2024-05-19,Cash,Canceled,148982.39,Affordable,Ball pressure nice people source value. Where participant wrong good party.
69,34,275,9,3096622,2024-02-26,Installments,Canceled,77654.51,Luxury,Almost beautiful talk book case authority drug. Teacher turn former hot. House attorney car now still quickly. Now money ability side adult gas.
70,7,58,3,2571930,2023-12-17,Cash,Canceled,67666.52,Investment,Exactly economy cut information blue magazine establish. Despite wear professor quickly back price. Exist all finally become share include rest.
71,66,155,8,2683094,2024-07-02,Installments,Canceled,61890.21,Luxury,"Want professional moment friend energy arm become control. Describe minute dinner news drug detail.
Site themselves employee traditional why."
72,63,282,5,1761694,2024-02-09,Mortgage,Completed,55287.72,Investment,
73,94,370,3,1606812,2023-12-25,Cash,Completed,66038.34,Luxury,
74,37,404,7,2206163,2024-07-27,Cash,Canceled,87479.41,Investment,Arm treatment big gas stuff. Listen community dinner wife personal reason. Discuss begin boy ago no building eat head.
75,23,360,5,4017205,2023-09-21,Installments,Pending,158832.77,Affordable,Not better task. Particular edge risk arm west get. Law cell citizen now manage.
76,46,44,10,3463651,2024-08-10,Installments,Pending,83043.14,Affordable,"Theory dog clearly police wife. Technology start lose create age eight ready. Stock me million manager real job reality break.
Agree election movie forget quite near hear."
77,5,269,2,803347,2024-08-03,Installments,Canceled,35538.78,Investment,"Beat mother only training our discussion. Sea else ten song data end.
Arrive themselves message vote require scene. Strong little fear development news low serious."
78,65,261,1,809736,2023-08-30,Installments,Canceled,28071.42,Luxury,"Foot teach question entire challenge both affect. Despite establish arm forward perform those.
Share argue stuff glass. Service camera edge small right beyond difficult. Mrs bed bit less."
79,100,405,1,2082012,2023-08-31,Installments,Canceled,67579.29,Investment,"Large easy receive instead wish chair. Long either reach nation second. Agreement enjoy must here activity.
Note official expect eat next."
80,19,357,1,3076479,2024-08-02,Cash,Canceled,119586.34,Affordable,"American two ahead score year. Study language ok soldier.
Kitchen arrive think against moment product.
Site line including face car. Week simple final population today again. News begin page return."
81,99,497,2,1439135,2024-01-02,Mortgage,Pending,49729.51,Affordable,Tend guy it. Hold why military stay key camera child. Peace performance tax yourself.
82,16,270,5,2170371,2024-02-29,Mortgage,Canceled,82216.46,Affordable,"Down family under remain. Action write late measure.
Attack shoulder most camera. Act state purpose science. Still fire physical decision."
83,54,498,3,4851602,2023-11-05,Cash,Pending,119156.76,Affordable,Evening energy become share. Science fly wear single manage there. Air free call air network.
84,58,456,8,1612452,2024-05-27,Cash,Completed,33636.88,Affordable,
85,85,431,5,1615141,2024-07-11,Mortgage,Completed,34182.53,Investment,
86,32,297,2,3943097,2023-09-20,Mortgage,Pending,127290.91,Affordable,Human wear probably stage American raise reach. Year rule road participant recent. Just approach particular court.
87,45,202,5,653787,2024-05-07,Mortgage,Canceled,27235.28,Luxury,Letter marriage anything plant staff improve. Beat authority voice among. Choice now item very concern. Certainly loss her dinner leave floor.
88,88,353,9,1877592,2024-05-25,Installments,Pending,59279.45,Investment,"Word difference husband sign audience source wife. Myself relationship week way. Form shake box bill training quickly face.
Ask least campaign image would. Increase word population add yourself well."
89,55,385,4,1647292,2023-09-06,Cash,Canceled,50700.99,Investment,"Dark drop throughout use name bank. Partner sell wonder determine environmental throughout.
Part theory majority computer necessary act. Treat score full of."
90,83,436,4,3703709,2024-05-17,Cash,Completed,96790.65,Affordable,
91,37,101,9,2221245,2023-09-02,Mortgage,Canceled,75071.06,Investment,"Line true represent west yes fear. Father impact best against. Decision hospital enter have station.
Probably leader home friend. Newspaper know low thousand baby similar."
92,35,97,5,1399638,2024-05-15,Cash,Completed,42293.48,Luxury,
93,65,288,5,622001,2023-11-02,Installments,Completed,19171.71,Luxury,
94,30,108,2,3631631,2024-02-27,Cash,Canceled,143393.91,Affordable,"Music rich child factor program name nature. Left laugh store hotel subject cold feeling.
After my region time financial expert. Size happy create they simple maybe."
95,16,338,2,2153677,2024-02-03,Cash,Pending,46213.5,Affordable,"Talk military capital. Door together political ok image majority.
Culture cup blue individual ahead must. Join threat election road effort image."
96,86,77,10,3284086,2023-11-24,Cash,Canceled,124429.91,Luxury,"Central notice space describe only leader. Step right news half popular serious part.
Memory these push truth purpose lose detail land. General dream public whom area."
97,75,146,7,4149489,2024-05-06,Installments,Canceled,137646.27,Luxury,"Beautiful citizen very all two perhaps. Over foreign happy detail.
Position though task."
98,38,449,4,2791479,2024-02-01,Cash,Canceled,62221.8,Investment,"Trade official explain whom into. All entire direction green care.
Factor store month cover. These onto public lead stand police recently."
99,10,265,2,3785873,2024-05-09,Installments,Completed,82739.59,Investment,
100,30,199,7,3611671,2023-11-12,Cash,Completed,73449.59,Affordable,
