event_id,session_id,user_id,property_id,event_type,event_timestamp,session_duration,referral_source,device_type,browser,operating_system
44003,44,400,81.0,Click,2024-08-06 17:31:11,1024,Social Media,Desktop,Edge,macOS
44004,44,400,62.0,Click,2024-08-06 17:39:25,1291,Social Media,Desktop,Edge,macOS
44005,44,400,,Page View,2024-08-06 17:43:52,1517,Social Media,Desktop,Edge,macOS
44006,44,400,3.0,Property View,2024-08-06 17:47:38,1785,Social Media,Desktop,Edge,macOS
44007,44,400,9.0,Inquiry Submission,2024-08-06 17:52:06,2222,Social Media,Desktop,Edge,macOS
45000,45,465,,Page View,2024-08-20 08:42:01,288,Social Media,Mobile,Firefox,iOS
45001,45,465,80.0,Property View,2024-08-20 08:46:49,439,Social Media,Mobile,Firefox,iOS
45002,45,465,11.0,Property View,2024-08-20 08:49:20,758,Social Media,Mobile,Firefox,iOS
45003,45,465,,Page View,2024-08-20 08:54:39,850,Social Media,Mobile,Firefox,iOS
45004,45,465,75.0,Inquiry Submission,2024-08-20 08:56:11,1136,Social Media,Mobile,Firefox,iOS
45005,45,465,,Page View,2024-08-20 09:00:57,1595,Social Media,Mobile,Firefox,iOS
45006,45,465,80.0,Click,2024-08-20 09:08:36,1760,Social Media,Mobile,Firefox,iOS
45007,45,465,74.0,Property View,2024-08-20 09:11:21,2331,Social Media,Mobile,Firefox,iOS
45008,45,465,49.0,Click,2024-08-20 09:20:52,2453,Social Media,Mobile,Firefox,iOS
46000,46,474,9.0,Inquiry Submission,2024-08-12 12:47:30,442,Referral,Tablet,Chrome,macOS
46001,46,474,76.0,Property View,2024-08-12 12:54:52,702,Referral,Tablet,Chrome,macOS
46002,46,474,61.0,Property View,2024-08-12 12:59:12,916,Referral,Tablet,Chrome,macOS
46003,46,474,96.0,Property View,2024-08-12 13:02:46,1379,Referral,Tablet,Chrome,macOS
46004,46,474,61.0,Property View,2024-08-12 13:10:29,1803,Referral,Tablet,Chrome,macOS
46005,46,474,,Page View,2024-08-12 13:17:33,1995,Referral,Tablet,Chrome,macOS
46006,46,474,88.0,Click,2024-08-12 13:20:45,2461,Referral,Tablet,Chrome,macOS
46007,46,474,3.0,Click,2024-08-12 13:28:31,2788,Referral,Tablet,Chrome,macOS
47000,47,149,,Page View,2024-08-14 19:55:47,484,Direct,Mobile,Safari,iOS
47001,47,149,,Page View,2024-08-14 20:03:51,922,Direct,Mobile,Safari,iOS
47002,47,149,23.0,Inquiry Submission,2024-08-14 20:11:09,1235,Direct,Mobile,Safari,iOS
47003,47,149,15.0,Property View,2024-08-14 20:16:22,1293,Direct,Mobile,Safari,iOS
47004,47,149,38.0,Click,2024-08-14 20:17:20,1414,Direct,Mobile,Safari,iOS
48000,48,196,66.0,Property View,2024-08-02 19:35:54,463,Social Media,Desktop,Edge,macOS
48001,48,196,6.0,Property View,2024-08-02 19:43:37,792,Social Media,Desktop,Edge,macOS
48002,48,196,13.0,Click,2024-08-02 19:49:06,966,Social Media,Desktop,Edge,macOS
48003,48,196,,Page View,2024-08-02 19:52:00,1415,Social Media,Desktop,Edge,macOS
48004,48,196,55.0,Click,2024-08-02 19:59:29,1942,Social Media,Desktop,Edge,macOS
48005,48,196,,Page View,2024-08-02 20:08:16,2332,Social Media,Desktop,Edge,macOS
48006,48,196,31.0,Property View,2024-08-02 20:14:46,2387,Social Media,Desktop,Edge,macOS
48007,48,196,44.0,Property View,2024-08-02 20:15:41,2696,Social Media,Desktop,Edge,macOS
49000,49,219,1.0,Property View,2024-07-25 10:42:23,71,Organic Search,Desktop,Edge,Windows
49001,49,219,57.0,Property View,2024-07-25 10:43:34,366,Organic Search,Desktop,Edge,Windows
49002,49,219,18.0,Property View,2024-07-25 10:48:29,715,Organic Search,Desktop,Edge,Windows
49003,49,219,93.0,Click,2024-07-25 10:54:18,1306,Organic Search,Desktop,Edge,Windows
50000,50,254,92.0,Click,2024-08-05 11:24:58,55,Direct,Mobile,Safari,macOS
51000,51,150,64.0,Click,2024-08-19 16:50:30,115,Referral,Mobile,Firefox,macOS
51001,51,150,,Page View,2024-08-19 16:52:25,427,Referral,Mobile,Firefox,macOS
51002,51,150,63.0,Click,2024-08-19 16:57:37,808,Referral,Mobile,Firefox,macOS
51003,51,150,79.0,Inquiry Submission,2024-08-19 17:03:58,956,Referral,Mobile,Firefox,macOS
51004,51,150,47.0,Click,2024-08-19 17:06:26,989,Referral,Mobile,Firefox,macOS
51005,51,150,30.0,Click,2024-08-19 17:06:59,1347,Referral,Mobile,Firefox,macOS
52000,52,171,64.0,Inquiry Submission,2024-08-19 00:15:35,263,Direct,Tablet,Chrome,iOS
52001,52,171,72.0,Click,2024-08-19 00:19:58,731,Direct,Tablet,Chrome,iOS
52002,52,171,,Page View,2024-08-19 00:27:46,1035,Direct,Tablet,Chrome,iOS
52003,52,171,3.0,Property View,2024-08-19 00:32:50,1515,Direct,Tablet,Chrome,iOS
53000,53,21,98.0,Property View,2024-08-11 06:31:42,109,Referral,Mobile,Firefox,Windows
53001,53,21,72.0,Property View,2024-08-11 06:33:31,425,Referral,Mobile,Firefox,Windows
53002,53,21,47.0,Property View,2024-08-11 06:38:47,964,Referral,Mobile,Firefox,Windows
53003,53,21,55.0,Inquiry Submission,2024-08-11 06:47:46,1385,Referral,Mobile,Firefox,Windows
53004,53,21,66.0,Click,2024-08-11 06:54:47,1425,Referral,Mobile,Firefox,Windows
54000,54,4,52.0,Inquiry Submission,2024-08-03 15:06:08,460,Email Campaign,Tablet,Edge,Windows
54001,54,4,84.0,Property View,2024-08-03 15:13:48,954,Email Campaign,Tablet,Edge,Windows
54002,54,4,,Page View,2024-08-03 15:22:02,1462,Email Campaign,Tablet,Edge,Windows
54003,54,4,,Page View,2024-08-03 15:30:30,1776,Email Campaign,Tablet,Edge,Windows
54004,54,4,60.0,Property View,2024-08-03 15:35:44,1931,Email Campaign,Tablet,Edge,Windows
54005,54,4,,Page View,2024-08-03 15:38:19,2248,Email Campaign,Tablet,Edge,Windows
54006,54,4,24.0,Click,2024-08-03 15:43:36,2387,Email Campaign,Tablet,Edge,Windows
54007,54,4,,Page View,2024-08-03 15:45:55,2435,Email Campaign,Tablet,Edge,Windows
54008,54,4,100.0,Inquiry Submission,2024-08-03 15:46:43,2903,Email Campaign,Tablet,Edge,Windows
54009,54,4,97.0,Inquiry Submission,2024-08-03 15:54:31,3253,Email Campaign,Tablet,Edge,Windows
